Desc_Carrera,Desc_Materia,Calif_Final,sexo,edad,Grado  
PREPARATORIA,TECNOLOGIA_II,9.00,F,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,17.00,6
PREPARATORIA,TECNOLOGIA_I,9.00,F,17.00,5
PREPARATORIA,SOCIOLOGIA,10.00,F,17.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,9.00,F,17.00,5
PREPARATORIA,DERECHO,10.00,F,17.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,F,17.00,5
PREPARATORIA,MATEMATICAS_FINANCIERAS,7.00,M,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,8.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,8.00,M,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,9.00,M,17.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_I,6.00,M,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,6.00,M,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_I,5.00,M,18.00,5
PREPARATORIA,DERECHO,6.00,M,18.00,5
PREPARATORIA,ADMINISTRACION_I,6.00,M,18.00,5
PREPARATORIA,MATEMATICAS_IV,5.00,M,18.00,4
PREPARATORIA,FILOSOFIA,8.00,M,18.00,4
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,10.00,M,18.00,4
PREPARATORIA,QUIMICA,8.00,M,18.00,4
PREPARATORIA,BIOLOGIA II,9.00,M,18.00,4
PREPARATORIA,LENGUA_ADIC.AL_ESPANOL_III,10.00,M,17.00,4
PREPARATORIA,INFORMATICA_II,9.00,M,17.00,4
PREPARATORIA,BIOLOGIA II,8.00,M,17.00,4
PREPARATORIA,MATEMATICAS_IV,9.00,M,17.00,4
PREPARATORIA,QUIMICA,8.00,M,17.00,4
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,F,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,10.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,M,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,7.00,M,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,6.00,M,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,6.00,M,17.00,6
PREPARATORIA,CALCULO_DIFERENCIAL,6.00,F,17.00,5
PREPARATORIA,ADMINISTRACION_I,9.00,F,17.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,8.00,F,17.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_I,5.00,F,17.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,7.00,F,17.00,5
PREPARATORIA,TECNOLOGIA_I,8.00,F,17.00,5
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,10.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,8.00,M,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,7.00,M,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,8.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,8.00,M,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,8.00,F,17.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,5.00,M,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,M,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,5.00,M,17.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,5.00,M,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,7.00,M,21.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,M,21.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,21.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,21.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,21.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,6.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,7.00,M,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_I,8.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,6.00,M,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,18.00,6
PREPARATORIA,TEM.SELEC.DE_CIENC.D.LA_SAL.I,9.00,F,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,9.00,F,18.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,9.00,F,18.00,5
PREPARATORIA,CALCULO_DIFERENCIAL,8.00,F,18.00,5
PREPARATORIA,ADMINISTRACION_I,10.00,F,18.00,5
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,10.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,9.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,7.00,M,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,7.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,6.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,8.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,10.00,M,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,8.00,M,18.00,6
PREPARATORIA,TALL.DE_LECTURA_Y_REDACCION_I,8.00,M,17.00,1
PREPARATORIA,MATEMATICAS_I,8.00,M,17.00,1
PREPARATORIA,ESTRATEGIAS_DE_APRENDIZAJE,9.00,M,17.00,1
PREPARATORIA,GEOGRAFIA,8.00,M,17.00,1
PREPARATORIA,ETICA_Y_VALORES,10.00,M,17.00,1
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,18.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,8.00,F,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,9.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,10.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,10.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,M,17.00,6
PREPARATORIA,CALCULO_INTEGRAL,7.00,M,17.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,10.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,10.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,F,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_I,10.00,F,18.00,5
PREPARATORIA,DERECHO,10.00,F,18.00,5
PREPARATORIA,TECNOLOGIA_I,9.00,F,18.00,5
PREPARATORIA,CALCULO_DIFERENCIAL,9.00,F,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,8.00,F,18.00,5
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,F,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,10.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,9.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,17.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,F,17.00,5
PREPARATORIA,FILOSOFIA,9.00,F,17.00,5
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,9.00,F,17.00,5
PREPARATORIA,PSICOLOGIA,9.00,F,17.00,5
PREPARATORIA,SOCIOLOGIA,9.00,F,17.00,5
PREPARATORIA,MATEMATICAS_FINANCIERAS,9.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,8.00,F,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,6.00,F,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,F,17.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,7.00,M,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,10.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,9.00,F,17.00,6
PREPARATORIA,CALCULO_INTEGRAL,9.00,F,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_I,10.00,F,17.00,6
PREPARATORIA,TEM.SELEC.DE_CIENC.D.LA_SAL.I,10.00,F,17.00,6
PREPARATORIA,DERECHO,9.00,F,17.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,9.00,F,17.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,F,17.00,5
PREPARATORIA,SOCIOLOGIA,9.00,F,17.00,5
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,F,17.00,5
PREPARATORIA,TECNOLOGIA_I,10.00,F,17.00,5
PREPARATORIA,ADMINISTRACION_II,9.00,F,17.00,5
PREPARATORIA,ADMINISTRACION_II,10.00,M,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,M,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,10.00,M,17.00,6
PREPARATORIA,CALCULO_DIFERENCIAL,9.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,10.00,F,18.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,10.00,F,18.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,M,17.00,6
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,10.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_I,10.00,M,17.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,10.00,F,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,10.00,F,17.00,6
PREPARATORIA,DERECHO,10.00,F,17.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,9.00,F,17.00,5
PREPARATORIA,TECNOLOGIA_I,9.00,F,17.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,10.00,F,17.00,5
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,F,17.00,5
PREPARATORIA,CALCULO_INTEGRAL,8.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,7.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,7.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,8.00,M,17.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,M,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,F,18.00,6
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,10.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,F,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,10.00,F,18.00,6
PREPARATORIA,SOCIOLOGIA,7.00,M,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,6.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,18.00,6
PREPARATORIA,TALLER_DE_INDUCCION_A_LA_LIC.,5.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,6.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,6.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,M,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,9.00,M,17.00,6
PREPARATORIA,CALCULO_INTEGRAL,9.00,M,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,5.00,M,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,M,18.00,6
PREPARATORIA,CALCULO_DIFERENCIAL,6.00,M,17.00,6
PREPARATORIA,TEM.SELEC.DE_CIENC.D.LA_SAL.I,8.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,8.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,6.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,6.00,M,17.00,6
PREPARATORIA,CALCULO_DIFERENCIAL,6.00,F,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,6.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,7.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,8.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,F,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,F,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,F,17.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,F,17.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,M,18.00,6
PREPARATORIA,TALLER_DE_INDUCCION_A_LA_LIC.,5.00,M,18.00,6
PREPARATORIA,DERECHO,7.00,M,18.00,6
PREPARATORIA,SOCIOLOGIA,8.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,9.00,F,18.00,6
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,8.00,F,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,8.00,F,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,F,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,7.00,F,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,8.00,F,18.00,6
PREPARATORIA,QUIMICA,7.00,M,17.00,3
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,10.00,F,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,F,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,F,17.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,F,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,10.00,M,18.00,6
PREPARATORIA,SOCIOLOGIA,6.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,18.00,6
PREPARATORIA,TALLER_DE_INDUCCION_A_LA_LIC.,5.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,18.00,6
PREPARATORIA,ADMINISTRACION_II,7.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,7.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,8.00,M,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,17.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,10.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,10.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,10.00,M,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,5.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,6.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,10.00,F,17.00,6
PREPARATORIA,ADMINISTRACION_II,10.00,F,17.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,8.00,F,17.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,10.00,F,17.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_II,7.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,9.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,9.00,M,18.00,6
PREPARATORIA,FILOSOFIA,8.00,M,18.00,4
PREPARATORIA,MATEMATICAS_IV,7.00,M,18.00,4
PREPARATORIA,PSICOLOGIA,8.00,M,18.00,4
PREPARATORIA,LITERATURA_II,9.00,M,18.00,4
PREPARATORIA,LENGUA_ADIC.AL_ESPANOL_III,7.00,M,18.00,4
PREPARATORIA,METODOLOGIA_DE_LA_INVESTIGAC.,8.00,M,18.00,4
PREPARATORIA,ADMINISTRACION_II,9.00,M,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,7.00,M,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,M,18.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,9.00,M,18.00,6
PREPARATORIA,SOCIOLOGIA,7.00,M,18.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,9.00,M,18.00,5
PREPARATORIA,ADMINISTRACION_I,9.00,M,18.00,5
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,10.00,M,18.00,5
PREPARATORIA,TECNOLOGIA_I,9.00,M,18.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,10.00,M,18.00,5
PREPARATORIA,DERECHO,10.00,M,18.00,5
PREPARATORIA,SOCIOLOGIA,7.00,M,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,19.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,M,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,8.00,M,19.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,6.00,M,19.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,5.00,F,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,5.00,F,18.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,5.00,F,18.00,6
PREPARATORIA,DERECHO,5.00,F,18.00,6
PREPARATORIA,MATEMATICAS_IV,5.00,F,18.00,6
PREPARATORIA,SOCIOLOGIA,8.00,F,19.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,7.00,F,19.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,6.00,F,19.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,6.00,F,19.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,6.00,F,19.00,6
PREPARATORIA,TALLER_DE_INDUCCION_A_LA_LIC.,5.00,M,17.00,6
PREPARATORIA,CALIDAD_Y_PRODUCTIVIDAD,7.00,M,17.00,6
PREPARATORIA,CALCULO_DIFERENCIAL,8.00,M,17.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,M,17.00,6
PREPARATORIA,TECNOLOGIA_II,9.00,M,17.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,8.00,M,17.00,6
PREPARATORIA,DERECHO,8.00,M,18.00,5
PREPARATORIA,MATEMATICAS_III,5.00,M,18.00,5
PREPARATORIA,SOCIOLOGIA,8.00,M,18.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,6.00,M,18.00,5
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,8.00,M,18.00,5
PREPARATORIA,ADMINISTRACION_I,7.00,M,18.00,5
PREPARATORIA,TECNOLOGIA_I,8.00,M,18.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,8.00,M,18.00,5
PREPARATORIA,SOCIOLOGIA,8.00,F,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,8.00,F,18.00,6
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_I,8.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_II,8.00,F,18.00,6
PREPARATORIA,TECNOLOGIA_I,10.00,F,18.00,5
PREPARATORIA,ADMINISTRACION_I,9.00,F,18.00,5
PREPARATORIA,DERECHO,9.00,F,18.00,5
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_I,9.00,F,18.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,9.00,F,18.00,5
PREPARATORIA,SOCIOLOGIA,9.00,F,18.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,8.00,F,18.00,5
PREPARATORIA,CALCULO_DIFERENCIAL,8.00,M,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_QUIMICA_I,7.00,M,18.00,5
PREPARATORIA,ADMINISTRACION_I,9.00,M,18.00,5
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_I,8.00,M,18.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,9.00,M,18.00,5
PREPARATORIA,COMPORTAM.ORGANIZACIONAL_II,9.00,F,18.00,6
PREPARATORIA,HISTORIA_DEL_ARTE,9.00,F,18.00,6
PREPARATORIA,CIENCIAS_DE_LA_COMUNICACION,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,9.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_I,9.00,F,17.00,5
PREPARATORIA,LENGUA_ADICIONAL_AL_ESPANOL_IV,10.00,F,17.00,5
PREPARATORIA,ECOLOGIA_Y_MEDIO_AMBIENTE,9.00,F,17.00,5
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,9.00,F,17.00,5
PREPARATORIA,TECNOLOGIA_I,9.00,F,17.00,5
PREPARATORIA,TEM.SELEC.DE_CIENCS_D.LA_S.II,9.00,M,18.00,6
PREPARATORIA,TECNOLOGIA_II,10.00,M,18.00,6
PREPARATORIA,CALCULO_INTEGRAL,7.00,M,18.00,6
PREPARATORIA,TEMAS_SELECTOS_DE_FISICA_II,7.00,M,18.00,6
PREPARATORIA,ESTRUC.SOCIOECONOM.DE_MEXICO,9.00,M,18.00,6
PREPARATORIA,PROBABILIDAD_Y_ESTADISTICA,5.00,F,18.00,6
PREPARATORIA,ADMINISTRACION_II,8.00,F,18.00,6
PREPARATORIA,MATEMATICAS_FINANCIERAS,7.00,F,18.00,6
